Title,Genre,ReleaseYear,Rating,Votes,RevenueMillions,MovieScore
Movie 2239,Drama,1992,4.9,99059,142.55,70.62205693009692
Movie 2240,Horror,1999,8.7,97021,46.72,104.57142941226965
Movie 2241,Comedy,1999,7.2,19764,145.76,85.79600942526164
Movie 2242,Action,1981,7.9,36812,40.18,87.0754899488928
Movie 2243,Horror,2017,5.8,15393,262.42,82.16405199214672
Movie 2244,Action,2018,5.5,5571,262.15,73.65530134194833
Movie 2245,Action,1998,6.4,92449,242.84,97.46430871561773
Movie 2246,Horror,2012,4.6,46476,55.36,54.970879089543345
Movie 2247,Horror,2019,6.3,38619,125.67,79.10461100268978
Movie 2248,Horror,2003,6.4,18522,121.54,75.04531828558544
Movie 2249,Horror,1984,7.3,31217,196.86,95.23187595278401
Movie 2250,Drama,1995,6.9,59134,204.97,96.311289888328
Movie 2251,Horror,1980,6.3,84210,108.76,82.32480924807483
Movie 2252,Drama,2015,5.2,9606,35.39,51.22428584773064
Movie 2253,Horror,2000,8.1,35639,182.88,103.18591344083644
Movie 2254,Action,2018,6.1,2622,290.96,77.11565127718792
Movie 2255,Drama,1988,5.5,69264,175.21,78.8223225390059
Movie 2256,Action,1989,8.4,15544,283.59,109.43155230893997
Movie 2257,Action,1989,7.6,7386,99.04,77.6008250292184
Movie 2258,Action,1984,8.8,4467,88.71,82.832326209664
Movie 2259,Horror,1994,4.0,35047,97.08,51.565895317974935
Movie 2260,Action,2009,7.3,60806,153.26,95.73885940821434
Movie 2261,Comedy,2007,4.2,72578,283.37,75.34520979164198
Movie 2262,Comedy,2001,8.1,98815,264.29,119.58721999294958
Movie 2263,Comedy,2011,8.1,59622,31.38,92.20395314567412
Movie 2264,Action,1983,7.7,30552,123.54,91.87357982777375
Movie 2265,Drama,1982,6.7,16154,140.04,78.92689868433263
Movie 2266,Drama,2012,8.3,67288,167.61,109.03004205668881
Movie 2267,Horror,2017,7.2,94004,282.24,110.67194340955359
Movie 2268,Action,2017,5.0,90476,195.12,76.5762547687082
Movie 2269,Comedy,1984,7.0,20315,25.94,72.02814822344794
Movie 2270,Drama,1996,6.7,22345,260.49,93.14549750781879
Movie 2271,Action,1988,4.9,21854,50.61,54.02270653575734
Movie 2272,Horror,2004,8.1,81465,66.01,98.19532237760262
Movie 2273,Comedy,1993,7.0,37117,218.93,95.54600114296775
Movie 2274,Drama,1981,8.8,42797,272.46,121.09137053325362
Movie 2275,Comedy,1989,4.0,84181,151.01,60.46394560261931
Movie 2276,Horror,2013,7.2,4573,237.54,84.43663229699563
Movie 2277,Drama,2010,6.9,11408,52.13,69.67388879651494
Movie 2278,Horror,1985,6.3,20955,50.09,67.69513576732709
Movie 2279,Horror,2016,8.2,56019,174.28,107.08240520027562
Movie 2280,Comedy,1999,4.0,87664,141.78,59.70311204361691
Movie 2281,Action,1981,6.6,17703,146.05,79.16320281942384
Movie 2282,Horror,2007,6.6,1801,63.33,55.81090609191067
Movie 2283,Comedy,1993,4.4,81041,242.22,73.9539803982708
Movie 2284,Drama,1988,7.6,77260,119.25,97.4625788037806
Movie 2285,Action,1995,4.0,31481,27.31,44.15968493165907
Movie 2286,Drama,1980,4.7,40877,109.17,60.8232323100081
Movie 2287,Comedy,2019,6.3,27340,4.15,64.776698922139
Movie 2288,Horror,2015,7.2,93196,164.5,98.83578984146375
Movie 2289,Action,2002,5.4,48873,114.37,69.7408045182896
Movie 2290,Comedy,1994,6.9,12411,148.19,79.86129127642107
Movie 2291,Horror,2011,5.8,19314,273.85,84.6230961955822
Movie 2292,Drama,1998,8.0,3204,74.99,72.07873895483816
Movie 2293,Drama,1985,6.0,9771,216.1,76.73365859426579
Movie 2294,Action,1980,8.9,83879,246.17,125.51756811664112
Movie 2295,Comedy,2009,9.1,61550,143.22,114.67335454375227
Movie 2296,Comedy,2000,8.5,48165,53.77,97.02747358399236
Movie 2297,Drama,1983,8.4,28865,115.29,97.80052557179108
Movie 2298,Horror,2019,6.1,79348,273.45,96.1628278532322
Movie 2299,Drama,2007,7.3,77128,40.82,86.2306127531573
Movie 2300,Comedy,2010,5.8,61963,161.14,80.11299133131226
Movie 2301,Action,2009,5.4,50678,38.33,62.332641273990525
Movie 2302,Action,2015,6.3,55579,12.9,70.12114583076792
Movie 2303,Comedy,2016,7.3,95270,81.34,91.82470941024474
Movie 2304,Action,1987,4.1,29877,261.38,68.38799858066926
Movie 2305,Horror,2006,7.3,79174,266.91,109.03073586126993
Movie 2306,Comedy,2017,8.3,69071,243.57,116.84310915770067
Movie 2307,Horror,2018,4.3,4761,284.09,64.82321901630127
Movie 2308,Comedy,2023,6.1,40553,209.12,85.63537715980328
Movie 2309,Horror,2023,6.3,23235,40.88,67.42478589840826
Movie 2310,Horror,2014,6.0,49842,248.66,89.76580006559722
Movie 2311,Horror,1983,7.6,11858,16.66,72.96040187493243
Movie 2312,Action,1988,7.5,68014,53.93,88.84912661050649
Movie 2313,Horror,2014,9.2,84011,16.55,105.97117730783981
Movie 2314,Drama,1992,2.8,72935,81.78,39.53054534514126
Movie 2315,Comedy,2012,5.1,87363,97.84,67.81097674512914
Movie 2316,Horror,2009,7.8,93831,161.91,105.49523757997045
Movie 2317,Action,2012,6.3,5258,222.44,76.22048589361286
Movie 2318,Action,2002,5.4,86902,12.67,62.678758298724794
Movie 2319,Comedy,1984,5.6,20406,152.41,70.81334624608287
Movie 2320,Horror,1986,6.7,37563,149.76,85.55246954029418
Movie 2321,Drama,1982,6.6,26046,69.33,74.03954199085277
Movie 2322,Comedy,2018,6.8,50970,96.42,83.34728243317394
Movie 2323,Comedy,2022,6.1,84673,25.12,71.7260395933055
Movie 2324,Drama,2013,3.7,67921,8.64,42.03062648774915
Movie 2325,Horror,1991,5.8,91177,23.47,68.58629972957404
Movie 2326,Comedy,1988,7.2,34560,32.73,78.51646433532885
Movie 2327,Action,2023,5.8,95722,242.61,90.78244052107306
Movie 2328,Horror,1992,4.1,96565,69.33,53.9927261646253
Movie 2329,Comedy,1990,8.3,31717,14.34,87.46050886308593
Movie 2330,Horror,2004,3.6,34491,94.27,47.04153769145997
Movie 2331,Drama,2019,7.9,8145,11.29,72.27073007684604
Movie 2332,Comedy,2006,6.7,49001,227.22,95.07942983032842
Movie 2333,Action,1997,7.6,4100,199.48,83.17229455297965
Movie 2334,Drama,2006,8.2,62990,2.3,90.84612653181122
Movie 2335,Drama,2011,7.8,81887,250.74,113.3162403638842
Movie 2336,Horror,1997,3.9,1272,241.98,52.07961323437389
Movie 2337,Comedy,2013,9.6,78315,9.02,109.07966915242076
Movie 2338,Drama,1981,4.7,34033,15.69,50.6140419284775
Movie 2339,Drama,1988,10.4,86602,148.31,133.0695332542215
Movie 2340,Drama,1987,7.3,44949,233.47,101.55413409126828
Movie 2341,Comedy,1992,7.6,76974,282.74,113.78339339322453
Movie 2342,Horror,2011,6.6,92952,188.84,94.38700516910123
Movie 2343,Drama,1988,7.4,95200,266.5,111.48171836445218
Movie 2344,Comedy,1999,4.7,94578,194.02,73.250796492486
Movie 2345,Horror,2010,5.6,30093,201.67,77.9146541337854
Movie 2346,Horror,2022,2.8,85513,135.84,45.3820190757895
Movie 2347,Action,2007,6.8,77967,139.53,90.54856560256636
Movie 2348,Action,2007,5.3,3587,181.99,61.58135618284703
Movie 2349,Drama,1991,4.2,69164,84.65,55.270850979897446
Movie 2350,Horror,1986,7.8,69752,225.02,109.49318253418863
Movie 2351,Horror,1981,7.5,47489,26.22,83.38405831157377
Movie 2352,Horror,1997,8.9,12434,62.95,90.2066061705138
Movie 2353,Action,1983,7.3,52607,248.29,104.18455139243571
Movie 2354,Drama,1991,5.9,64800,284.56,93.82255025448835
Movie 2355,Comedy,1986,8.0,86045,91.69,100.07009852765813
Movie 2356,Comedy,1994,6.3,25410,96.5,73.55050580978528
Movie 2357,Comedy,2018,5.3,13696,254.87,75.96914018159455
Movie 2358,Horror,2016,6.2,66702,103.04,79.17363229210171
Movie 2359,Comedy,1997,5.3,40643,294.43,85.68981446381059
Movie 2360,Action,1998,7.4,31330,24.16,79.0234884327727
Movie 2361,Drama,2000,7.8,35702,67.98,88.56532198323428
Movie 2362,Horror,2016,6.2,67315,298.22,98.74835001876438
Movie 2363,Action,2006,6.4,16138,178.14,79.82356148502927
Movie 2364,Comedy,2003,4.2,67444,158.02,62.50208446559588
Movie 2365,Comedy,1990,5.6,81614,197.74,83.10870274649355
Movie 2366,Action,1986,6.8,62891,163.47,91.48138489041312
Movie 2367,Drama,2017,5.1,77025,94.69,66.85368136150976
Movie 2368,Drama,1985,5.7,42047,287.21,89.4064324805124
Movie 2369,Action,1990,5.4,27789,202.27,75.48213022277737
Movie 2370,Horror,1981,8.0,9538,124.4,85.74515149716166
Movie 2371,Drama,1986,6.7,84254,291.21,105.10974139735211
Movie 2372,Action,1998,5.5,59372,5.22,60.97577171107499
Movie 2373,Comedy,2003,6.6,41748,48.06,75.02624313411582
Movie 2374,Comedy,1992,6.6,76890,47.04,78.95495114932478
Movie 2375,Drama,2005,5.9,81246,222.68,88.96897014095698
Movie 2376,Comedy,1994,8.4,24141,284.06,113.17635006659302
Movie 2377,Horror,2000,5.0,85728,70.59,63.853732185382995
Movie 2378,Horror,1986,5.9,13593,48.99,61.05156440764885
Movie 2379,Horror,1996,7.7,88972,105.84,98.33387938564181
Movie 2380,Drama,1999,6.9,30109,237.02,94.85902708818287
Movie 2381,Horror,2000,3.9,65364,126.38,55.88019468138424
Movie 2382,Comedy,1985,4.7,15673,221.48,67.54886526778022
Movie 2383,Comedy,2005,5.5,3506,11.39,46.03283937577098
Movie 2384,Horror,2001,6.7,52999,47.57,77.63991618997954
Movie 2385,Action,2008,7.8,93400,269.02,116.17032718022232
Movie 2386,Action,1981,8.7,32257,96.68,99.98723577525101
Movie 2387,Comedy,1989,9.4,15713,124.78,103.3036887491162
Movie 2388,Action,1997,8.4,64976,151.79,108.26602457688709
Movie 2389,Horror,2021,7.7,17830,162.3,91.60294221791216
Movie 2390,Drama,2003,7.7,28888,97.07,88.79536457682079
Movie 2391,Drama,2010,5.2,75528,173.97,75.80481423072737
Movie 2392,Action,1999,9.0,25266,71.32,98.36729027938722
Movie 2393,Drama,2017,8.2,98804,233.83,117.69040861589181
Movie 2394,Drama,2007,8.2,50816,153.43,104.19808703068684
Movie 2395,Comedy,2022,7.2,48466,49.64,82.642196717376
Movie 2396,Action,1992,5.2,74550,78.19,66.15904141637958
Movie 2397,Action,1992,8.2,70338,99.54,101.4748698519729
Movie 2398,Action,2014,6.5,78845,215.82,94.87113710216602
Movie 2399,Drama,1999,8.8,53862,247.39,120.60795177003999
Movie 2400,Drama,2000,9.0,3596,110.65,84.75569899326061
Movie 2401,Comedy,2017,5.8,61207,275.14,91.44179243768778
Movie 2402,Action,1991,6.5,20519,44.96,69.03550944535058
Movie 2403,Action,2006,8.6,38396,185.94,109.37331765050556
Movie 2404,Comedy,1998,7.1,8259,223.47,86.38317705225668
Movie 2405,Action,2017,5.4,77830,291.43,89.95939347728921
Movie 2406,Horror,1990,4.3,17126,19.6,43.878169211919186
Movie 2407,Action,2004,9.3,57681,180.92,120.04511414241995
Movie 2408,Drama,1981,6.5,18352,112.79,75.09306413108007
Movie 2409,Horror,1993,4.1,87837,10.65,47.73632290003673
Movie 2410,Comedy,2004,6.3,78862,140.26,85.06144492749014
Movie 2411,Horror,2010,5.9,82731,226.89,89.49683430682336
Movie 2412,Drama,1994,5.6,88391,203.89,84.17040578204086
Movie 2413,Drama,1992,8.0,93207,91.89,100.7297106711982
Movie 2414,Action,2022,5.9,54236,116.42,75.95859980696574
Movie 2415,Action,2002,3.8,1378,220.77,49.54763273561455
Movie 2416,Comedy,2018,8.7,96762,212.77,121.15317372847879
Movie 2417,Drama,2016,7.1,69519,237.18,102.87852529556885
Movie 2418,Comedy,1981,7.8,75808,83.65,96.00558392511317
Movie 2419,Action,2013,6.8,75728,292.42,105.63943190905613
Movie 2420,Horror,2003,6.8,11151,266.55,90.02674410440207
Movie 2421,Action,1999,6.7,67922,26.03,77.14807093046129
Movie 2422,Comedy,1992,3.4,14704,294.31,62.05720569335952
Movie 2423,Comedy,2002,7.5,14785,148.02,86.81277049587784
Movie 2424,Drama,1989,9.1,28133,70.42,100.26908020369052
Movie 2425,Comedy,1995,7.5,75095,266.1,110.80891930512621
Movie 2426,Drama,1986,6.7,78024,91.48,84.62205659983117
Movie 2427,Comedy,2002,7.9,40762,52.47,89.10968768096708
Movie 2428,Comedy,1990,4.6,49186,101.25,59.8205693436497
Movie 2429,Horror,2018,5.9,35478,177.34,79.54650788168716
Movie 2430,Action,2015,9.3,48272,282.08,128.5050373972835
Movie 2431,Horror,2021,7.4,45316,58.16,85.15463762588075
Movie 2432,Comedy,2006,6.4,14803,192.29,80.6859772384387
Movie 2433,Drama,2007,6.3,56059,38.19,72.70432029572831
Movie 2434,Horror,2006,5.3,22524,197.87,72.90561973712565
Movie 2435,Action,1996,6.9,62669,83.05,84.51990318820918
Movie 2436,Horror,2018,7.3,26540,146.77,89.03805569890592
Movie 2437,Action,1986,6.1,13584,146.96,72.74800128334873
Movie 2438,Horror,1997,7.2,83389,114.02,92.98724247498342
Movie 2439,Drama,2015,6.7,7259,205.92,80.15590522238625
Movie 2440,Action,2019,6.0,77340,219.03,89.43887696998519
Movie 2441,Horror,2010,8.8,97733,128.8,113.9920420779538
Movie 2442,Action,2003,6.2,82966,39.57,74.17942894761516
Movie 2443,Action,1987,5.6,81965,71.78,70.53673491424703
Movie 2444,Drama,2010,5.7,85476,287.48,93.47721489346353
Movie 2445,Comedy,1980,6.7,83640,179.31,93.87073703346917
Movie 2446,Drama,1994,8.8,10963,67.56,88.61687762531956
Movie 2447,Comedy,2000,7.1,59731,17.87,79.87012450115783
Movie 2448,Comedy,2005,4.0,90471,22.43,47.89418275820466
Movie 2450,Action,2009,6.1,91070,142.64,83.92230767650247
Movie 2451,Comedy,2003,6.9,74272,286.61,106.0479691337528
Movie 2452,Action,2013,7.0,90853,277.5,107.66906371031581
Movie 2453,Horror,2016,5.0,37369,27.58,55.40111761239765
Movie 2454,Action,1982,7.0,7907,133.23,76.15241129003354
Movie 2455,Drama,2006,9.9,92895,40.43,117.29143508156113
Movie 2456,Action,2013,7.2,83625,68.32,88.43759023963973
Movie 2457,Action,2007,6.8,50319,162.9,89.90787366134538
Movie 2458,Action,1991,6.6,38696,75.49,77.26821455377942
Movie 2459,Horror,1992,6.9,27662,170.06,87.57817230853004
Movie 2460,Comedy,2011,4.5,52406,46.51,53.55157952128003
Movie 2461,Action,2003,3.7,70446,16.56,42.95767895220231
Movie 2462,Horror,2005,5.7,96139,64.03,71.80229622625333
Movie 2463,Horror,1990,6.0,34272,293.36,91.9886789069588
Movie 2464,Action,2021,7.1,57398,36.55,81.4552533399271
Movie 2465,Horror,2020,5.2,68080,296.34,87.50195794905332
Movie 2466,Drama,2000,5.8,46556,250.23,87.36390935457047
Movie 2467,Drama,1980,7.2,11526,197.84,87.12162119792728
Movie 2468,Action,1980,9.6,26039,103.74,107.98093532469605
Movie 2469,Drama,2023,8.0,86288,234.67,114.39065925285466
Movie 2470,Comedy,2019,5.7,3375,251.85,71.49434707758033
Movie 2471,Comedy,1983,6.8,47803,72.31,80.50007925951004
Movie 2472,Comedy,1988,5.6,6559,249.3,74.14697693885356
Movie 2473,Horror,1992,6.7,40800,289.73,100.10329452830196
Movie 2474,Drama,2020,8.0,72870,188.83,108.45456826910916
Movie 2475,Drama,1983,6.9,36241,266.35,99.07102022927752
Movie 2476,Drama,1995,6.9,71141,4.98,77.58778879493427
Movie 2477,Action,1998,5.5,36792,243.2,82.14184588769652
Movie 2478,Action,1986,5.5,97082,221.38,85.29626858941407
Movie 2479,Drama,2017,7.7,19467,20.41,78.09026075634075
Movie 2480,Horror,2014,7.2,19479,48.61,75.976433755815
Movie 2481,Horror,2013,6.7,95622,283.54,105.19072999437881
Movie 2482,Action,2007,5.8,78612,124.0,77.77929568303048
Movie 2483,Comedy,2021,7.0,77719,21.69,80.99507532443964
Movie 2484,Comedy,1987,3.6,65898,85.95,48.54016276512709
Movie 2485,Drama,2023,7.6,45248,96.99,91.17051245571635
Movie 2486,Action,1993,9.0,78451,85.12,109.9441802660326
Movie 2487,Drama,1984,5.7,17516,292.01,84.89528456662438
Movie 2488,Comedy,2009,4.3,16639,77.51,49.545128271813354
Movie 2489,Drama,1998,9.3,52269,122.97,113.3338542068748
Movie 2490,Horror,1996,7.0,29347,167.99,88.8078577588372
Movie 2491,Action,2012,6.3,83256,19.43,73.32003117686901
Movie 2492,Drama,1981,4.5,64540,104.52,60.289751818888675
Movie 2493,Horror,2015,7.9,25956,189.33,99.23015315371819
Movie 2494,Horror,2013,6.7,89429,66.61,83.04911688477952
Movie 2495,Drama,2017,5.3,77696,127.31,72.41203120553023
Movie 2496,Drama,2000,7.9,80893,192.28,108.50506998381076
Movie 2497,Action,2009,5.1,48936,225.91,77.66227408139322
Movie 2498,Action,2001,5.8,72828,108.22,75.75804313777063
Movie 2499,Drama,2023,4.8,37758,64.97,57.08409985691795
Movie 2501,Horror,1999,7.1,80587,196.85,99.89444574165418
Movie 2502,Action,2021,8.5,75372,6.27,96.08373739728654
Movie 2503,Action,2009,6.6,13953,155.04,78.4912417976946
Movie 2504,Action,2013,6.3,81258,160.34,87.25800023871625
Movie 2505,Action,1993,7.2,36074,90.04,84.55615876222292
Movie 2506,Comedy,2015,7.1,69275,256.39,104.77456201442742
Movie 2507,Drama,2009,5.5,62086,274.05,88.10460548427811
Movie 2508,Horror,1984,8.3,27560,209.87,105.8475031741985
Movie 2509,Action,2010,5.7,21186,296.95,86.47351547063846
Movie 2510,Drama,2022,6.2,10580,223.86,79.84025435720581
Movie 2511,Action,1998,8.5,45961,296.45,120.89734710049322
Movie 2512,Drama,2007,7.8,47457,169.27,100.91428302914329
Movie 2513,Comedy,1983,9.6,34066,52.48,105.43441074660711
Movie 2514,Horror,2014,6.8,65601,234.16,98.83725794345175
Movie 2515,Action,2004,4.8,37637,109.19,61.49069339515903
Movie 2516,Drama,2015,3.1,29103,129.79,44.8427557923495
Movie 2517,Drama,2013,8.9,22860,209.19,110.24997036022334
Movie 2518,Comedy,1980,5.8,88130,96.77,75.71916181283896
Movie 2519,Horror,2017,6.4,58602,28.4,73.10266348028134
Movie 2520,Horror,1997,7.3,28681,1.29,75.05638269921086
Movie 2521,Action,1981,7.8,19649,98.92,87.00149441491976
Movie 2522,Action,2000,6.7,71395,81.07,82.98618073314097
Movie 2523,Drama,2017,6.1,93589,179.24,87.74874079682294
Movie 2524,Drama,2008,4.8,60165,189.18,71.74134090092718
Movie 2525,Drama,2016,5.7,70365,61.66,69.78635318436125
Movie 2526,Action,2022,5.1,87408,96.31,67.66060300896933
Movie 2527,Action,1980,6.0,29368,156.62,77.38816985158613
Movie 2528,Comedy,1980,6.9,44718,217.8,95.66626084891381
Movie 2529,Drama,1985,8.5,16352,129.21,95.38941648872533
Movie 2530,Comedy,1982,6.2,67712,52.46,74.20880747741916
Movie 2531,Action,2022,6.2,56929,90.95,76.98238187605979
Movie 2532,Horror,1986,6.3,89190,9.86,72.7967731246851
Movie 2533,Drama,2002,8.6,95966,47.28,103.38513308764783
Movie 2534,Drama,1984,5.7,52262,171.09,79.03405047343713
Movie 2535,Horror,1989,6.9,44484,195.47,93.39706059548419
Movie 2536,Drama,1994,9.4,86235,6.65,107.49452422705225
Movie 2537,Comedy,2006,5.4,39796,126.13,69.80735278235449
Movie 2538,Drama,1987,7.8,6417,31.43,71.52452220902447
Movie 2539,Comedy,1996,5.5,46615,62.26,65.349345098526
Movie 2540,Action,2013,6.0,87054,133.33,81.5787722908042
Movie 2541,Drama,2005,5.1,31676,171.79,70.03206533682058
Movie 2542,Horror,1987,3.6,53130,84.86,47.65585702769293
Movie 2543,Action,2010,7.5,69010,107.57,94.32215893372391
Movie 2544,Drama,2014,5.0,42795,289.55,82.27599959629248
Movie 2545,Horror,1995,9.2,24844,204.02,113.50978859713506
Movie 2546,Comedy,1998,6.5,30570,260.8,93.21074632003236
Movie 2547,Action,1995,9.2,91484,256.58,130.75815879126773
Movie 2548,Comedy,2003,7.8,18599,219.63,98.6441515056701
Movie 2549,Action,1996,5.7,12718,206.88,74.55785763947345
Movie 2550,Action,1985,5.4,93145,47.58,66.54438654152374
Movie 2551,Horror,2019,7.7,12198,140.7,86.52014130314527
Movie 2552,Action,1985,5.6,78671,278.49,90.97803850204964
Movie 2553,Action,1999,6.7,42152,45.24,75.87270960633882
Movie 2554,Drama,2015,6.8,99512,230.33,101.28769626157462
Movie 2555,Action,2015,6.9,41579,238.46,97.23008447374283
Movie 2556,Drama,1985,7.3,44062,94.36,87.49764266115818
Movie 2557,Drama,1997,4.9,60541,32.17,57.17135382839249
Movie 2558,Action,1988,7.4,68831,220.31,104.46273783729919
Movie 2559,Action,2015,8.9,3868,254.07,98.92768705683457
Movie 2560,Action,2016,4.1,61431,276.54,72.85931321914256
Movie 2561,Drama,1988,5.7,67009,285.58,91.89980370351313
Movie 2562,Drama,2017,5.9,71661,221.56,88.11632381025055
Movie 2563,Horror,2004,5.5,60617,270.62,87.62990936710683
Movie 2564,Action,1996,7.9,41257,177.47,101.70504246758834
Movie 2565,Drama,1991,7.1,63287,74.46,85.93970221857874
Movie 2566,Action,1990,7.9,91604,210.99,111.35840496117024
Movie 2567,Action,1980,5.3,1629,197.34,58.93457705714428
Movie 2568,Comedy,1997,2.9,77158,70.64,39.69950816987294
Movie 2569,Action,2000,6.7,60383,134.06,87.16281230272746
Movie 2570,Comedy,2008,8.4,57427,184.66,110.51561305327971
Movie 2571,Action,2010,6.5,69763,1.95,72.68867707652562
Movie 2572,Horror,1984,4.2,84689,296.13,77.26936180164572
Movie 2573,Drama,2023,7.5,58722,202.2,102.57440063926207
Movie 2574,Horror,2011,4.5,64868,277.84,77.64456308788903
Movie 2575,Action,1987,5.1,55973,221.85,77.94147713856398
Movie 2576,Comedy,2021,7.2,57902,88.22,87.78097622497029
Movie 2577,Horror,1989,7.3,72180,69.27,88.59160456618469
Movie 2578,Drama,2020,4.8,43528,200.18,71.28767677577568
Movie 2579,Horror,2022,5.9,35913,251.26,87.01040657655088
Movie 2580,Drama,2002,7.0,79798,178.58,96.86886376421744
Movie 2581,Horror,2007,3.7,47600,262.14,66.06525347908814
Movie 2582,Action,2019,5.3,22698,228.87,76.04640359306921
Movie 2583,Comedy,2015,8.1,16506,216.18,100.28147248001508
Movie 2584,Horror,2014,8.0,18451,142.62,92.84542435742169
Movie 2585,Drama,1983,6.3,79957,283.29,99.45131768751017
Movie 2586,Action,1984,4.6,56227,216.1,71.92098260927762
Movie 2587,Drama,2018,5.1,25413,136.47,65.37658295954884
Movie 2588,Comedy,1981,5.5,812,280.31,64.88502110251295
Movie 2589,Drama,2010,4.6,40273,1.43,48.91892234081641
Movie 2590,Comedy,1985,5.8,2691,2.37,46.04563020643479
Movie 2591,Comedy,1991,5.6,61436,24.84,64.22829821562476
Movie 2592,Comedy,2018,7.4,98410,25.31,87.6081182040366
Movie 2593,Action,1991,6.6,72539,153.82,89.2484965247235
Movie 2594,Horror,2015,6.9,57086,167.15,92.28608872289381
Movie 2595,Horror,2015,6.3,63262,73.56,77.00285229012505
Movie 2596,Drama,1980,8.2,74466,298.64,121.85251309636175
Movie 2597,Comedy,2002,5.3,16156,247.34,76.09157595776719
Movie 2598,Drama,2003,5.1,19157,60.5,56.33842587590846
Movie 2599,Comedy,1989,6.9,6789,34.63,64.34312292181392
Movie 2600,Comedy,1999,6.1,17189,270.11,86.49870690009905
Movie 2601,Drama,2017,5.2,14262,286.02,78.3422050627218
Movie 2602,Action,1993,9.3,1473,286.51,96.50133617656832
Movie 2603,Horror,2010,8.7,40451,61.02,98.39048087569194
Movie 2604,Horror,1996,6.9,29825,137.69,84.86063684972683
Movie 2605,Action,1988,6.6,68422,107.37,84.21786440903183
Movie 2606,Horror,2008,6.8,56683,128.56,87.28368138802436
Movie 2607,Horror,1992,9.5,13170,265.91,116.70584085899094
Movie 2608,Drama,2009,6.0,45820,103.44,74.73898668180064
Movie 2609,Comedy,1987,7.0,77327,299.72,108.76267975859406
Movie 2610,Horror,2020,7.7,34480,52.83,85.73386069541488
Movie 2611,Action,1986,6.1,37379,186.37,82.86323559415828
Movie 2612,Action,1997,7.3,67686,113.05,92.50034074284287
Movie 2613,Drama,1982,3.8,65283,35.46,45.67470859662823
Movie 2614,Horror,2004,6.3,79530,168.77,87.96558361898485
Movie 2615,Action,1990,5.1,55674,63.57,62.0861611098404
Movie 2616,Action,1987,7.4,69262,92.66,91.74392937726697
Movie 2617,Horror,1985,6.9,16687,144.63,81.54787172295981
Movie 2618,Action,1995,7.9,36454,81.87,91.16728782770019
Movie 2619,Comedy,1991,5.3,90084,40.12,64.47709742466394
Movie 2620,Comedy,2011,6.0,30566,162.13,78.17905764785436
Movie 2621,Horror,2002,6.0,46536,246.43,89.13101784459771
Movie 2622,Comedy,2023,5.8,37520,113.04,72.39340512025869
Movie 2623,Comedy,2007,5.9,14079,238.45,80.204812715301
Movie 2624,Comedy,2013,7.8,61176,112.71,97.23890733078638
Movie 2625,Horror,1986,4.1,97791,101.39,57.25045201765316
Movie 2626,Drama,2010,7.2,87489,237.9,105.72081441672222
Movie 2627,Drama,1980,3.5,24405,50.2,40.37904498942125
Movie 2628,Drama,2009,4.6,41865,291.23,78.07725487501054
Movie 2629,Comedy,2003,5.1,30891,217.42,74.46708790141469
Movie 2630,Horror,2009,5.5,80789,222.14,84.36184660960564
Movie 2631,Horror,2004,5.1,93957,128.08,71.20607607975347
Movie 2632,Drama,1987,5.5,28288,151.44,71.52025573520206
Movie 2633,Comedy,2021,7.5,97740,30.86,89.26157301498131
Movie 2634,Horror,1985,5.8,83749,248.0,90.54643040818641
Movie 2635,Action,2016,4.7,92089,105.0,64.22345170196243
Movie 2636,Comedy,1996,4.8,92945,287.4,83.65091500000521
Movie 2637,Drama,1987,5.8,73393,98.31,74.81186531087468
Movie 2638,Comedy,2002,6.8,74433,231.61,99.44114311862883
Movie 2639,Action,2012,5.1,65053,35.43,60.06616216337504
Movie 2640,Comedy,2016,6.4,14565,56.93,67.04625007857831
Movie 2641,Drama,2012,6.4,45301,240.15,92.63008134788424
Movie 2642,Drama,2009,4.9,11476,20.65,47.87069152723527
Movie 2643,Horror,1983,9.6,38066,63.03,107.55518922302421
Movie 2644,Drama,2015,5.9,81356,29.05,69.61395272562898
Movie 2645,Horror,1984,8.3,52526,90.02,99.21538559738374
Movie 2646,Comedy,2023,7.8,53159,7.68,85.64027980005203
Movie 2647,Comedy,2008,3.8,35188,114.28,51.20825748844197
Movie 2648,Drama,2005,5.0,10694,34.23,49.810658107582526
Movie 2649,Horror,1999,8.8,505,138.95,68.68852268972971
Movie 2650,Comedy,1998,7.0,55826,97.86,86.29609031616536
Movie 2651,Horror,2013,6.2,36795,183.6,83.5414954201017
Movie 2652,Comedy,1998,8.2,74747,275.47,119.56639742734558
Movie 2653,Drama,2003,7.0,28018,12.58,72.94246691322293
Movie 2654,Horror,1981,9.1,72368,114.78,113.30275311994774
Movie 2655,Horror,2009,7.0,54484,30.29,79.3687649938769
Movie 2656,Drama,1991,7.6,3488,113.5,73.34601535301948
Movie 2657,Drama,1995,6.8,18850,299.24,96.865384444695
Movie 2658,Drama,2009,5.1,42749,162.1,70.59193481926101
Movie 2659,Drama,1998,6.2,17144,151.37,75.58366356236152
Movie 2660,Action,2014,7.1,82933,113.74,91.78718276709684
Movie 2661,Action,1992,6.3,2847,184.07,68.51954531695075
Movie 2662,Horror,2008,7.6,53733,11.67,83.94468932715685
Movie 2663,Comedy,1982,7.2,42834,112.74,88.06279779166664
